PACFIN_YEAR,All_others,DTS,sum,proportion
2012,2420731.181,5136811.931,7557543.111,0.679693368
2013,3163603.824,5078671.2,8242275.024,0.61617347
2014,3082293.809,5424399.522,8506693.331,0.637662522
2015,3205211.298,5385806.337,8591017.635,0.626911335
2016,2804472.597,4851007.569,7655480.166,0.633664703
2017,3961325.101,5368954.784,9330279.885,0.575433411
2018,2826539.096,2216510.741,5043049.837,0.439517913
2019,4169201.311,2391009.751,6560211.062,0.364471467
2020,3219104.328,2002228.193,5221332.52,0.38347073
2021,4651719.113,2361002.628,7012721.741,0.336674221
