port_code,Lon,Lat,ngdc_id
WPT,-124.10832,46.90757,-30100
NEW,-124.05359,44.6282,-20600
AST,-123.85876,46.18838,-25000
CRS,-124.18493,41.745,-12000
SF,-122.41919,37.81012,-11620
COS,-124.32148,43.33971,-20300
LWC,-124.04177,46.30345,-25000
BDG,-123.05032,38.32978,-11700
ANA,-122.60897,48.51147,NA
PRN,-122.4825,37.50118,-11500
BLL,-122.5104,48.75651,-30450
BRK,-124.26834,42.0475,-20000
ERK,-124.16367,40.80698,-11900
BLN,-122.76244,48.99119,NA
LAC,-122.50233,48.38694,-30400
BRG,-123.81064,39.42769,-11800
SEA,-122.38465,47.62947,-30420
TLL,-123.91189,45.55377,-20800
WLB,-124.02602,46.50102,-30000
ORF,-124.49823,42.73929,NA
TRN,-124.14669,41.05485,NA
MRO,-120.85766,35.37007,-11100
TNS,-122.77509,48.10638,-30400
WIN,-124.17828,43.67965,-20400
LAP,-124.63704,47.91075,-30200
CRZ,-122.00243,36.9662,-11400
AVL,-120.7509,35.16445,-11000
PAG,-123.45084,48.12453,-30310
FLN,-124.22103,40.72792,-11900
MOS,-121.78536,36.80311,-11300
SEQ,-123.07971,48.13068,NA
NEA,-124.6138,48.36804,-30300
OLY,-122.8942,47.04752,-30400
MNT,-121.89031,36.60595,-11200
ARE,-123.71075,38.91447,NA
SHL,-123.09171,47.21256,-30400
BOL,-122.68039,37.90559,NA
ALM,-122.23826,37.77261,-11600
DPO,-124.06303,44.80923,-20700
WLD,-124.06999,44.42682,NA
BKL,-122.31596,37.8667,-11600
EVR,-122.2176,47.99713,-30440
TAC,-122.41211,47.28529,-30410
PCC,-123.96502,45.1993,NA
FLR,-124.10328,43.96629,-20500
GLD,-124.42241,42.42163,-20100
OAK,-122.29044,37.79132,-11600
SB,-119.69245,34.40429,-10900
NTR,-123.9484,45.40284,NA
VEN,-119.26303,34.24149,-10800
NHL,-123.91564,45.7056,NA
FRI,-123.01037,48.53474,NA
GRH,-123.88366,46.98149,-30100
RCH,-122.37218,37.92246,-11600
TML,-122.91277,38.17128,NA
GSS,-123.92419,45.99283,NA
SLT,-122.49669,37.86831,-11600
OXN,-119.22438,34.16501,-10700
RYS,-122.97335,37.99531,NA
BDN,-124.41133,43.12057,NA
SLZ,-124.02395,44.92697,NA
TRM,-118.26723,33.73639,-10400
HNM,-119.20739,34.15009,-10600
SP,-118.27676,33.73011,-10400
CPL,-124.17916,47.12607,NA
SD,-117.17365,32.7106,-10000
OCN,-117.39348,33.20658,-10100
NWB,-117.90588,33.61086,-10300
DNA,-117.6916,33.46081,-10200
LGB,-118.20888,33.77254,-10400
ALB,-123.77067,39.22701,NA
WLM,-118.26614,33.76147,-10400
CNB,-123.96492,45.89177,NA
SRV,-124.00722,45.04614,NA
YAC,-124.10214,44.30906,NA
MDRb,-118.44811,33.97355,-10500
SSLb,-122.40597,47.66805,-30430
VALb,-122.2721,38.1089,-11610
LWCb,-123.9474,46.27063,NA
ASTb,-123.9191,46.16692,NA
